device,useragent
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_0) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/47.0.3240.164 Safari/536"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_8) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/54.0.3881.282 Safari/600"
firefox,Mozilla/5.0 (Linux; U; Linux i661 ; en-US) Gecko/20100101 Firefox/46.0
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 10.0; Trident/7.0)
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/63.0
chrome,"Mozilla/5.0 (Linux; Linux i556 x86_64) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/55.0.2460.254 Safari/534"
mobile,"Mozilla/5.0 (Linux; Android 6.0; SAMSUNG SM-G9350L Build/MDB08L) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/51.0.3757.292 Mobile Safari/533.5"
linux,"Mozilla/5.0 (Linux; U; Linux i546 ) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/53.0.2422.169 Safari/601"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/602.15 (KHTML, like Gecko) Chrome/53.0.3281.215 Safari/603.6 Edge/10.80901"
edge,"Mozilla/5.0 (Windows NT 10.1;; en-US) AppleWebKit/534.45 (KHTML, like Gecko) Chrome/54.0.1022.351 Safari/602.3 Edge/8.60164"
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/53.0.3059.381 Safari/601"
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; LG-D725 Build/LRX22G) AppleWebKit/533.47 (KHTML, like Gecko) Chrome/51.0.2855.321 Mobile Safari/536.6"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.0;) AppleWebKit/536.38 (KHTML, like Gecko) Chrome/50.0.1037.320 Safari/533"
firefox,Mozilla/5.0 (Windows; Windows NT 6.1;; en-US) Gecko/20100101 Firefox/50.8
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1; like Mac OS X) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/55.0.1935.246 Mobile Safari/535.3"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20130401 Firefox/46.2
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_7) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/52.0.1666.301 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_8; like Mac OS X) AppleWebKit/603.27 (KHTML, like Gecko) Chrome/53.0.2427.321 Mobile Safari/537.9"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_4; like Mac OS X) AppleWebKit/536.24 (KHTML, like Gecko) Chrome/49.0.2937.156 Mobile Safari/601.7"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/66.8
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_0_7; en-US) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/47.0.2826.264 Safari/537"
edge,"Mozilla/5.0 (Windows NT 10.2; x64) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/52.0.3949.374 Safari/600.8 Edge/8.83725"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/55.0.2793.363 Safari/601"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_8) Gecko/20130401 Firefox/66.1
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_1_7) Gecko/20100101 Firefox/60.2
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_9_6) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/49.0.3312.290 Safari/602"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_3; en-US) Gecko/20130401 Firefox/52.6
mobile,"Mozilla/5.0 (Android; Android 4.4.4; Nexus5 V7.1 Build/KOT49H) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/52.0.2686.213 Mobile Safari/601.9"
android,"Mozilla/5.0 (Android; Android 4.3.1; Ascend G320 Build/JLS36I) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/53.0.3791.390 Mobile Safari/603.5"
windows,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/534.38 (KHTML, like Gecko) Chrome/55.0.3558.391 Safari/535.0 Edge/18.22254"
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920L Build/MDB08I) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/52.0.1481.231 Mobile Safari/603.2"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.1;; en-US) Gecko/20130401 Firefox/60.3
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; x64) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/49.0.1415.164 Safari/601.7 Edge/14.85143"
mobile,"Mozilla/5.0 (Android; Android 5.1; MOTO X FORCE XT1580 Build/LPD23) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/53.0.2447.377 Mobile Safari/601.3"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_8_3) Gecko/20130401 Firefox/60.9
chrome,"Mozilla/5.0 (Windows; Windows NT 6.2; WOW64; en-US) AppleWebKit/600.39 (KHTML, like Gecko) Chrome/50.0.3673.137 Safari/535"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_6; en-US) Gecko/20100101 Firefox/52.7
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.0;; en-US Trident/5.0)
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.4;) Gecko/20100101 Firefox/71.8
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/49.0.2065.239 Safari/601"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_7) AppleWebKit/535.33 (KHTML, like Gecko) Chrome/51.0.1688.321 Safari/536"
android,"Mozilla/5.0 (Android; Android 5.1.1; MOTO X PURE XT1575 Build/LXB22) AppleWebKit/534.43 (KHTML, like Gecko) Chrome/48.0.1673.233 Mobile Safari/535.3"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/53.6
android,"Mozilla/5.0 (Android; Android 7.1.1; Pixel C Build/NME91E) AppleWebKit/600.43 (KHTML, like Gecko) Chrome/52.0.2110.307 Mobile Safari/603.7"
android,"Mozilla/5.0 (Linux; U; Android 6.0; HTC One_M8 Build/MRA58K) AppleWebKit/534.38 (KHTML, like Gecko) Chrome/50.0.2985.376 Mobile Safari/603.1"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_8) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/52.0.2589.353 Safari/600"
edge,"Mozilla/5.0 (Windows NT 10.1; WOW64; en-US) AppleWebKit/603.34 (KHTML, like Gecko) Chrome/54.0.1583.343 Safari/602.7 Edge/18.95875"
linux,Mozilla/5.0 (U; Linux i556 x86_64) Gecko/20100101 Firefox/73.1
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.1; x64; en-US Trident/4.0)
linux,"Mozilla/5.0 (Linux; U; Linux i645 x86_64; en-US) AppleWebKit/537.41 (KHTML, like Gecko) Chrome/51.0.2036.120 Safari/533"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_4) AppleWebKit/534.3 (KHTML, like Gecko) Chrome/52.0.1518.321 Safari/601"
linux,Mozilla/5.0 (Linux i563 ; en-US) Gecko/20130401 Firefox/56.8
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/70.7
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; WOW64; en-US Trident/7.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64; en-US) AppleWebKit/602.16 (KHTML, like Gecko) Chrome/53.0.3106.344 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_1; like Mac OS X) AppleWebKit/534.42 (KHTML, like Gecko) Chrome/50.0.2370.266 Mobile Safari/600.6"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0;; en-US Trident/6.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_6; like Mac OS X) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/47.0.1102.158 Mobile Safari/600.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_5; like Mac OS X) AppleWebKit/600.8 (KHTML, like Gecko) Chrome/54.0.1451.372 Mobile Safari/535.5"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1; Xperia Build/NDE63X) AppleWebKit/536.47 (KHTML, like Gecko) Chrome/55.0.1828.374 Mobile Safari/603.7"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_6_2; like Mac OS X) AppleWebKit/536.24 (KHTML, like Gecko) Chrome/51.0.1710.335 Mobile Safari/601.2"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.1; x64 Trident/5.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_7_8; en-US) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/55.0.2312.154 Safari/533"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1; Win64; x64; en-US Trident/7.0)
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.1;) Gecko/20100101 Firefox/74.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_4; like Mac OS X) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/51.0.2509.241 Mobile Safari/603.2"
mobile,"Mozilla/5.0 (Linux; Android 7.0; Pixel XL Build/NRD90M) AppleWebKit/537.40 (KHTML, like Gecko) Chrome/48.0.2762.124 Mobile Safari/601.9"
chrome,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/51.0.3990.368 Safari/536"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_1_9) Gecko/20130401 Firefox/64.5
linux,Mozilla/5.0 (Linux i675 ; en-US) Gecko/20100101 Firefox/71.0
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.0; Win64; x64) AppleWebKit/601.22 (KHTML, like Gecko) Chrome/54.0.3963.361 Safari/600"
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; HTC One_M9 Build/MRA58K) AppleWebKit/601.3 (KHTML, like Gecko) Chrome/47.0.2246.107 Mobile Safari/535.1"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;; en-US) AppleWebKit/601.32 (KHTML, like Gecko) Chrome/53.0.2461.283 Safari/537.5 Edge/10.92658"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 10.2; WOW64; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_1; en-US) Gecko/20130401 Firefox/58.8
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/50.1
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_3; en-US) Gecko/20100101 Firefox/53.5
firefox,Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64; en-US) Gecko/20100101 Firefox/49.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_4; like Mac OS X) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/53.0.2805.113 Mobile Safari/535.6"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_6_4; like Mac OS X) AppleWebKit/536.41 (KHTML, like Gecko) Chrome/52.0.1008.195 Mobile Safari/601.3"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_2) Gecko/20130401 Firefox/67.6
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_7; en-US) Gecko/20100101 Firefox/60.9
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; HTC One 801s Build/JSS15J) AppleWebKit/537.34 (KHTML, like Gecko) Chrome/53.0.2955.373 Mobile Safari/603.0"
chrome,"Mozilla/5.0 (Windows NT 10.1;; en-US) AppleWebKit/534.43 (KHTML, like Gecko) Chrome/53.0.2811.119 Safari/534"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; x64 Trident/5.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_3; like Mac OS X) AppleWebKit/603.28 (KHTML, like Gecko) Chrome/49.0.3505.109 Mobile Safari/600.2"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; x64 Trident/5.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_0; en-US) Gecko/20100101 Firefox/50.2
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/63.8
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; Trident/4.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_2_6) Gecko/20100101 Firefox/59.8
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; Nokia 3410 Build/IMM76D) AppleWebKit/602.23 (KHTML, like Gecko) Chrome/54.0.2605.270 Mobile Safari/603.5"
mobile,"Mozilla/5.0 (Linux; Android 4.4.4; Nexus 4 Build/KOT49H) AppleWebKit/603.45 (KHTML, like Gecko) Chrome/51.0.2990.169 Mobile Safari/536.1"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/601.23 (KHTML, like Gecko) Chrome/55.0.2341.266 Safari/535.3 Edge/11.24555"
linux,"Mozilla/5.0 (Linux i682 ) AppleWebKit/603.12 (KHTML, like Gecko) Chrome/53.0.2642.293 Safari/534"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; x64; en-US) AppleWebKit/533.5 (KHTML, like Gecko) Chrome/47.0.2391.144 Safari/536.8 Edge/9.79404"
mobile,"Mozilla/5.0 (Android; Android 5.1.1; SM-G9350M Build/MMB29M) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/49.0.2206.236 Mobile Safari/535.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_9; like Mac OS X) AppleWebKit/600.32 (KHTML, like Gecko) Chrome/48.0.1235.117 Mobile Safari/601.8"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; Win64; x64; en-US Trident/6.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_8_1; like Mac OS X) AppleWebKit/535.44 (KHTML, like Gecko) Chrome/51.0.2809.309 Mobile Safari/537.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_6; like Mac OS X) AppleWebKit/602.19 (KHTML, like Gecko) Chrome/47.0.2899.167 Mobile Safari/534.9"
android,"Mozilla/5.0 (Android; Android 6.0.1; SM-D9350S Build/MMB29K) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/49.0.1956.165 Mobile Safari/533.4"
windows,"Mozilla/5.0 (Windows NT 10.4; Win64; x64) AppleWebKit/601.9 (KHTML, like Gecko) Chrome/50.0.3943.216 Safari/534.2 Edge/17.60689"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.0;; en-US) AppleWebKit/536.17 (KHTML, like Gecko) Chrome/53.0.3793.392 Safari/602"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.1; x64) AppleWebKit/537.47 (KHTML, like Gecko) Chrome/47.0.3509.278 Safari/537"
linux,Mozilla/5.0 (U; Linux i684 x86_64; en-US) Gecko/20100101 Firefox/63.6
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.0; WOW64; en-US) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/52.0.1833.327 Safari/603"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/66.9
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_8_6; en-US) Gecko/20100101 Firefox/61.3
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64; en-US) AppleWebKit/601.10 (KHTML, like Gecko) Chrome/50.0.2783.103 Safari/602.7 Edge/8.80151"
edge,"Mozilla/5.0 (Windows NT 10.3; WOW64) AppleWebKit/537.41 (KHTML, like Gecko) Chrome/50.0.1253.373 Safari/533.3 Edge/16.74529"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Win64; x64 Trident/4.0)
linux,Mozilla/5.0 (Linux i670 ) Gecko/20100101 Firefox/64.3
windows,"Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/52.0.1886.277 Safari/536.3 Edge/14.52562"
mobile,"Mozilla/5.0 (Android; Android 5.1; XT1021 Build/LXB22) AppleWebKit/600.35 (KHTML, like Gecko) Chrome/47.0.2967.273 Mobile Safari/602.8"
android,"Mozilla/5.0 (Linux; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/55.0.3108.188 Mobile Safari/603.5"
linux,Mozilla/5.0 (Linux i666 ; en-US) Gecko/20100101 Firefox/59.5
chrome,"Mozilla/5.0 (Linux i586 x86_64; en-US) AppleWebKit/601.46 (KHTML, like Gecko) Chrome/55.0.3644.154 Safari/535"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_1_3; en-US) Gecko/20100101 Firefox/45.0
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; x64 Trident/6.0)
windows,"Mozilla/5.0 (Windows; Windows NT 6.1;; en-US) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/55.0.3688.199 Safari/600"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_9_3; like Mac OS X) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/49.0.1854.238 Mobile Safari/535.8"
linux,"Mozilla/5.0 (U; Linux i583 ) AppleWebKit/603.28 (KHTML, like Gecko) Chrome/50.0.1531.231 Safari/601"
windows,Mozilla/5.0 (Windows NT 10.1;; en-US) Gecko/20100101 Firefox/56.6
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.2; Win64; x64 Trident/4.0)
windows,Mozilla/5.0 (Windows; U; Windows NT 6.1; x64) Gecko/20130401 Firefox/68.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4; like Mac OS X) AppleWebKit/602.41 (KHTML, like Gecko) Chrome/48.0.2597.389 Mobile Safari/600.3"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/54.0.1368.153 Safari/534.9 Edge/13.51561"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_0; en-US) Gecko/20130401 Firefox/58.1
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/55.0
chrome,"Mozilla/5.0 (Windows NT 6.0;; en-US) AppleWebKit/536.44 (KHTML, like Gecko) Chrome/51.0.1218.131 Safari/601"
android,"Mozilla/5.0 (Android; Android 4.4.1; GT-I9401T Build/KOT49H) AppleWebKit/602.50 (KHTML, like Gecko) Chrome/48.0.1744.121 Mobile Safari/601.1"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_5_1; like Mac OS X) AppleWebKit/534.37 (KHTML, like Gecko) Chrome/47.0.2654.163 Mobile Safari/602.5"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.1; Win64; x64; en-US Trident/7.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.1; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; en-US) AppleWebKit/533.27 (KHTML, like Gecko) Chrome/51.0.1431.291 Safari/602.7 Edge/10.79646"
windows,Mozilla/5.0 (Windows NT 10.4;; en-US) Gecko/20100101 Firefox/45.6
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.1; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_6_0; like Mac OS X) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/48.0.1701.366 Mobile Safari/602.1"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_8_1; en-US) AppleWebKit/600.49 (KHTML, like Gecko) Chrome/52.0.2221.259 Safari/600"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_7; like Mac OS X) AppleWebKit/535.14 (KHTML, like Gecko) Chrome/47.0.2568.171 Mobile Safari/537.1"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) Gecko/20130401 Firefox/47.5
linux,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/51.0.2136.365 Safari/601"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; x64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/51.0.2058.164 Safari/601.2 Edge/11.60859"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_0; en-US) Gecko/20130401 Firefox/57.7
windows,Mozilla/5.0 (Windows; Windows NT 10.4;) Gecko/20130401 Firefox/63.8
windows,"Mozilla/5.0 (Windows; Windows NT 10.1; x64; en-US) AppleWebKit/603.3 (KHTML, like Gecko) Chrome/48.0.3555.384 Safari/536.8 Edge/17.13218"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_2; en-US) AppleWebKit/534.45 (KHTML, like Gecko) Chrome/55.0.3776.210 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1; WOW64 Trident/7.0)
mobile,"Mozilla/5.0 (Android; Android 5.0; LG-D720 Build/LRX22G) AppleWebKit/603.15 (KHTML, like Gecko) Chrome/48.0.3918.250 Mobile Safari/537.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2; like Mac OS X) AppleWebKit/534.15 (KHTML, like Gecko) Chrome/51.0.3310.285 Mobile Safari/533.8"
chrome,"Mozilla/5.0 (Windows NT 6.3; WOW64; en-US) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/51.0.2698.105 Safari/535"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_2; like Mac OS X) AppleWebKit/601.42 (KHTML, like Gecko) Chrome/55.0.1282.318 Mobile Safari/603.2"
mobile,"Mozilla/5.0 (Linux; U; Android 5.0.2; HTC Butterfly S 919d Build/LRX22G) AppleWebKit/600.5 (KHTML, like Gecko) Chrome/52.0.3515.110 Mobile Safari/534.0"
firefox,Mozilla/5.0 (Windows NT 10.4; x64; en-US) Gecko/20130401 Firefox/65.7
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; WOW64; en-US Trident/7.0)
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/49.0.1101.239 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_6; like Mac OS X) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/52.0.1126.266 Mobile Safari/601.4"
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/59.1
android,"Mozilla/5.0 (Android; Android 5.0; SM-G900FD Build/LRX21T) AppleWebKit/535.42 (KHTML, like Gecko) Chrome/53.0.3744.118 Mobile Safari/537.1"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.3; x64) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/47.0.2380.130 Safari/536"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_7) Gecko/20130401 Firefox/70.9
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 10.1; WOW64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/533.48 (KHTML, like Gecko) Chrome/48.0.3566.171 Safari/536"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.0; WOW64 Trident/5.0)
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2;; en-US Trident/4.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_3_7; en-US) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/52.0.1599.182 Safari/602"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_8; en-US) AppleWebKit/536.22 (KHTML, like Gecko) Chrome/50.0.2089.106 Safari/601"
windows,Mozilla/5.0 (Windows; Windows NT 10.4;) Gecko/20100101 Firefox/62.3
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; x64; en-US) AppleWebKit/601.5 (KHTML, like Gecko) Chrome/49.0.1160.204 Safari/536.4 Edge/12.74086"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/53.6
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64; en-US) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/54.0.2947.164 Safari/603.4 Edge/9.36318"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_2; like Mac OS X) AppleWebKit/600.35 (KHTML, like Gecko) Chrome/50.0.3869.385 Mobile Safari/602.7"
android,"Mozilla/5.0 (Linux; U; Android 7.1; Xperia V Build/NDE63X) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/48.0.3386.165 Mobile Safari/601.6"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_2_2 like Mac OS X) AppleWebKit/537.40 (KHTML, like Gecko) Chrome/55.0.2588.292 Mobile Safari/601.1"
chrome,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/535.29 (KHTML, like Gecko) Chrome/54.0.2250.348 Safari/536"
linux,Mozilla/5.0 (U; Linux i542 ; en-US) Gecko/20100101 Firefox/51.8
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_5) Gecko/20130401 Firefox/62.2
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.3; WOW64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) AppleWebKit/533.37 (KHTML, like Gecko) Chrome/51.0.3439.150 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_6; like Mac OS X) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/52.0.3656.342 Mobile Safari/536.9"
mobile,"Mozilla/5.0 (Android; Android 5.0; SM-G925T Build/KTU84F) AppleWebKit/536.10 (KHTML, like Gecko) Chrome/51.0.3075.131 Mobile Safari/535.8"
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/601.15 (KHTML, like Gecko) Chrome/53.0.2365.103 Safari/533"
linux,"Mozilla/5.0 (Linux; Linux i561 ) AppleWebKit/600.27 (KHTML, like Gecko) Chrome/50.0.3725.300 Safari/537"
mobile,"Mozilla/5.0 (Android; Android 6.0; HTC OneS Build/MRA58K) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.3363.156 Mobile Safari/601.8"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_6_2; en-US) Gecko/20100101 Firefox/61.1
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; Nexus 9P Build/NME91E) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/51.0.2231.276 Mobile Safari/533.6"
